business_Name,zip,license_description
Bergstein's Ny Delicatessen,60411,Mobile Food Dispenser
Soups In The Loop,60018,Mobile Food Dispenser
Cupcakes For Courage,60126,Mobile Food Dispenser
Abundant Restaurant,60429,Mobile Food Dispenser
Cheryl L Smith,60302,Mobile Food Dispenser
Pecan And Charlie's Mobile Cupcakery Llc,60525,Mobile Food Dispenser
Giavia Sweets,60035,Mobile Food Dispenser
Steakwich Inc.,60148,Mobile Food Dispenser
Sweetie Cakes,60491,Mobile Food Dispenser
K I Bar & Restaurant,60107,Mobile Food Dispenser
Buddy's Special Events Inc.,60047,Mobile Food Dispenser
Homage Street Food,60714,Mobile Food Dispenser
Samich Box,60402,Mobile Food Dispenser
La Azteca Paleteria,60623,Mobile Food License
Phillip's Ice Cream,60639,Mobile Food License
Chicago Fruit Cart Inc.,60609,Mobile Food License
Neighbor Capital Llc,60624,Mobile Food License
La Humita On Wheels,60608,Mobile Food License
Heritage Bicycles General Store,60657,Mobile Food License
Chicago Cupcake Llc,60647,Mobile Food License
Pork Chop,60608,Mobile Food License
Isla Tropical,60639,Mobile Food License
D's House,60636,Mobile Food License
Bumble Bee's Ice Cream,60644,Mobile Food License
Mina's Mexican Home Cooking And Snacks,60608,Mobile Food License
Paleteria Reina De Sabores,60625,Mobile Food License
Alaska Paleteria Y Neveria,60618,Mobile Food License
Jo Snow,60612,Mobile Food License
Taquero Fusion,60612,Mobile Food Dispenser
Arco Iris,60618,Mobile Food License
Paleterias Monarca Corp.,60626,Mobile Food License
Thunderbird - Arroyo,60609,Mobile Food License
Carnivale Food Truck,60608,Mobile Food License
Paleteria Carrucel,60639,Mobile Food License
The Roof Crop Llc,60607,Mobile Food License
Paleteria Oso Polar Inc.,60639,Mobile Food License
Stop N Go Llc,60612,Mobile Food License
La Boulangerie Food Truck,60612,Mobile Food License
Thunderbird Catering,60609,Mobile Food License
A.Sweets Girl Llc,60608,Mobile Food License
Sanchez Catering,60608,Mobile Food License
Lifeway Kefir Shop,60612,Mobile Food License
Chicago Lunchbox,60608,Mobile Food License
Paleteria Ayutla,60632,Mobile Food License
